id,group,file_name,path,duration,size,bit_rate,codec,width,height,r_frame_rate,avg_frame_rate,nb_frames,pix_fmt,color_space,color_transfer,color_primaries,color_range,error
11,MAGIC,Create one continuous five-second replacement bridge ONLY fo.mp4,inputs/sources/MAGIC/runway魔幻/Create one continuous five-second replacement bridge ONLY fo.mp4,5.041667,22536677,35760675,h264,1916,1080,24/1,24/1,121,yuv420p,,,,,
12,MAGIC,One continuous five-second invitation gesture from the suppl (1).mp4,inputs/sources/MAGIC/runway魔幻/One continuous five-second invitation gesture from the suppl (1).mp4,5.041667,17102696,27138160,h264,1916,1080,24/1,24/1,121,yuv420p,,,,,
13,MAGIC,One continuous five-second invitation gesture from the suppl.mp4,inputs/sources/MAGIC/runway魔幻/One continuous five-second invitation gesture from the suppl.mp4,5.041667,13095899,20780268,h264,1916,1080,24/1,24/1,121,yuv420p,,,,,
14,MAGIC,One continuous five-second opening shot_ The camera is compl.mp4,inputs/sources/MAGIC/runway魔幻/One continuous five-second opening shot_ The camera is compl.mp4,5.041667,7198045,11421690,h264,1916,1080,24/1,24/1,121,yuv420p,,,,,
15,MAGIC,One continuous five-second portrait shot from the supplied m.mp4,inputs/sources/MAGIC/runway魔幻/One continuous five-second portrait shot from the supplied m.mp4,5.041667,16492216,26169464,h264,1916,1080,24/1,24/1,121,yuv420p,,,,,
16,MAGIC,One continuous five-second shot connecting the supplied wide.mp4,inputs/sources/MAGIC/runway魔幻/One continuous five-second shot connecting the supplied wide.mp4,5.041667,22432625,35595567,h264,1916,1080,24/1,24/1,121,yuv420p,,,,,
17,MAGIC,Regenerate this exact five-second invitation_reaching shot w.mp4,inputs/sources/MAGIC/runway魔幻/Regenerate this exact five-second invitation_reaching shot w.mp4,5.041667,11516338,18273857,h264,1916,1080,24/1,24/1,121,yuv420p,,,,,
18,MAGIC,Single continuous five-second final architectural ending sho.mp4,inputs/sources/MAGIC/runway魔幻/Single continuous five-second final architectural ending sho.mp4,5.041667,20741577,32912252,h264,1920,1080,24/1,24/1,121,yuv420p,,,,,
19,MOMIJI,A single continuous five-second shot from a fixed tripod_ Th.mp4,inputs/sources/MOMIJI/runway紅葉/A single continuous five-second shot from a fixed tripod_ Th.mp4,5.041667,7727357,12261590,h264,1928,1076,24/1,24/1,121,yuv420p,,,,,
20,MOMIJI,B1 _ one continuous four-second cinematic take from the exac.mp4,inputs/sources/MOMIJI/runway紅葉/B1 _ one continuous four-second cinematic take from the exac.mp4,4.041667,6195802,12263854,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
21,MOMIJI,C1 _ one continuous four-second intimate portrait take from.mp4,inputs/sources/MOMIJI/runway紅葉/C1 _ one continuous four-second intimate portrait take from.mp4,4.041667,5015997,9928570,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
22,MOMIJI,C2 _ one continuous four-second intimate take from the exact.mp4,inputs/sources/MOMIJI/runway紅葉/C2 _ one continuous four-second intimate take from the exact.mp4,4.041667,5448169,10784003,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
23,MOMIJI,Create a continuous four-second motion bridge between these.mp4,inputs/sources/MOMIJI/runway紅葉/Create a continuous four-second motion bridge between these.mp4,4.041667,3177999,6290471,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
24,MOMIJI,Create one continuous four-second continuity bridge that rep.mp4,inputs/sources/MOMIJI/runway紅葉/Create one continuous four-second continuity bridge that rep.mp4,4.041667,8048030,15930119,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
25,MOMIJI,D1 _ one continuous four-second full-body preparation take f.mp4,inputs/sources/MOMIJI/runway紅葉/D1 _ one continuous four-second full-body preparation take f.mp4,4.041667,4702972,9308974,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
26,MOMIJI,D2 _ one continuous five-second full-body turning take from.mp4,inputs/sources/MOMIJI/runway紅葉/D2 _ one continuous five-second full-body turning take from.mp4,5.041667,6360046,10091973,h264,1920,1080,24/1,24/1,121,yuv420p,,,,,
27,MOMIJI,D3 _ one continuous five-second full-body continuation from.mp4,inputs/sources/MOMIJI/runway紅葉/D3 _ one continuous five-second full-body continuation from.mp4,5.041667,6161868,9777508,h264,1920,1080,24/1,24/1,121,yuv420p,,,,,
28,MOMIJI,E _ one continuous four-second closing take from the exact s.mp4,inputs/sources/MOMIJI/runway紅葉/E _ one continuous four-second closing take from the exact s.mp4,4.041667,4810758,9522324,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
29,MOMIJI,END E _ one continuous four-second closing transition from t.mp4,inputs/sources/MOMIJI/runway紅葉/END E _ one continuous four-second closing transition from t.mp4,4.041667,5034549,9965292,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
30,MOMIJI,Edit this exact 9_5-second rotation shot while preserving th.mp4,inputs/sources/MOMIJI/runway紅葉/Edit this exact 9_5-second rotation shot while preserving th.mp4,9.041667,11890354,10520497,h264,1920,1080,24/1,24/1,217,yuv420p,,,,,
31,MOMIJI,LOCKED-OFF SINGLE TAKE_ The camera is physically bolted to a.mp4,inputs/sources/MOMIJI/runway紅葉/LOCKED-OFF SINGLE TAKE_ The camera is physically bolted to a.mp4,5.041667,7450580,11822407,h264,1928,1076,24/1,24/1,121,yuv420p,,,,,
32,MOMIJI,Merge the two separate smoke bursts into one single continuo.mp4,inputs/sources/MOMIJI/runway紅葉/Merge the two separate smoke bursts into one single continuo.mp4,5.0,7929920,12687872,h264,1920,1080,24/1,24/1,120,yuv420p,,,,,
33,MOMIJI,One continuous five-second locked-tripod shot_ Keep the came.mp4,inputs/sources/MOMIJI/runway紅葉/One continuous five-second locked-tripod shot_ Keep the came.mp4,5.041667,5556240,8816512,h264,1920,1080,24/1,24/1,121,yuv420p,,,,,
34,MOMIJI,Repair only the causal arm-to-sleeve pose at this anchor fra.mp4,inputs/sources/MOMIJI/runway紅葉/Repair only the causal arm-to-sleeve pose at this anchor fra.mp4,3.333333,4267836,10242807,h264,1920,1080,24/1,24/1,80,yuv420p,,,,,
35,MOMIJI,"Repair only the hand-to-fabric contact. At the anchor frame,.mp4","inputs/sources/MOMIJI/runway紅葉/Repair only the hand-to-fabric contact. At the anchor frame,.mp4",4.0,3948535,7897070,h264,1920,1080,24/1,24/1,96,yuv420p,,,,,
36,MOMIJI,Repair only the sleeve-sweep physics in this exact shot. At_.mp4,inputs/sources/MOMIJI/runway紅葉/Repair only the sleeve-sweep physics in this exact shot. At_.mp4,3.333333,4238398,10172156,h264,1920,1080,24/1,24/1,80,yuv420p,,,,,
37,MOMIJI,"Repair only the smoking gesture. At the anchor frame, move t.mp4","inputs/sources/MOMIJI/runway紅葉/Repair only the smoking gesture. At the anchor frame, move t.mp4",5.0,7703831,12326129,h264,1920,1080,24/1,24/1,120,yuv420p,,,,,
38,MOMIJI,TURN D1 _ one continuous five-second full-body relay shot fr.mp4,inputs/sources/MOMIJI/runway紅葉/TURN D1 _ one continuous five-second full-body relay shot fr.mp4,5.041667,6034895,9576031,h264,1920,1080,24/1,24/1,121,yuv420p,,,,,
39,MOMIJI,TURN D2 _ one continuous five-second full-body continuation.mp4,inputs/sources/MOMIJI/runway紅葉/TURN D2 _ one continuous five-second full-body continuation.mp4,5.041667,6894793,10940497,h264,1920,1080,24/1,24/1,121,yuv420p,,,,,
40,MOMIJI,agent_generate_video - Cinematic single continuous take_ no cuts_ A woman in an orn_.mp4,inputs/sources/MOMIJI/runway紅葉/agent_generate_video - Cinematic single continuous take_ no cuts_ A woman in an orn_.mp4,8.08,8996377,8907303,h264,1920,1080,24/1,24/1,193,yuv420p,,,,,
41,OPENING,8a2978d8-4278-4b20-9c7f-90a7883da7cc 4K.mp4,inputs/sources/OPENING/runway開頭/8a2978d8-4278-4b20-9c7f-90a7883da7cc 4K.mp4,2.5,10517208,33655065,h264,3840,2160,24/1,24/1,60,yuv420p,,,,,
42,OPENING,"Add subtle natural twinkling stars in the night sky, slow vo.mp4","inputs/sources/OPENING/runway開頭/Add subtle natural twinkling stars in the night sky, slow vo.mp4",2.5,3317904,10617292,h264,1920,1080,24/1,24/1,60,yuv420p,,,,,
43,OPENING,Continuous seamless five-second shot_ Separate the airship f.mp4,inputs/sources/OPENING/runway開頭/Continuous seamless five-second shot_ Separate the airship f.mp4,5.041667,15691172,24898386,h264,1924,1076,24/1,24/1,121,yuv420p,,,,,
44,OPENING,Create one continuous 5-second ceremonial fantasy opening tr.mp4,inputs/sources/OPENING/runway開頭/Create one continuous 5-second ceremonial fantasy opening tr.mp4,5.041667,13059192,20722022,h264,1920,1080,24/1,24/1,121,yuv420p,,,,,
45,OPENING,MagicOffice_Opening_NO_TEXT_4K.mp4,inputs/sources/OPENING/runway開頭/MagicOffice_Opening_NO_TEXT_4K.mp4,5.5,32565177,47367530,h264,3840,2160,24/1,24/1,132,yuv420p,,,,,
46,OPENING,"Preserve this exact 2.5-second shot at the same composition,.mp4","inputs/sources/OPENING/runway開頭/Preserve this exact 2.5-second shot at the same composition,.mp4",2.5,3731645,11941264,h264,1920,1080,24/1,24/1,60,yuv420p,,,,,
47,PALACE,15f15c9d-05ac-4544-9985-a894fa10151b 4K.mp4,inputs/sources/PALACE/runway櫻花之宮/15f15c9d-05ac-4544-9985-a894fa10151b 4K.mp4,2.5,17790976,56931123,h264,3840,2160,24/1,24/1,60,yuv420p,,,,,
48,PALACE,Enhance only the environmental detail in this exact 5-second.mp4,inputs/sources/PALACE/runway櫻花之宮/Enhance only the environmental detail in this exact 5-second.mp4,5.0,10075486,16120777,h264,1920,1080,24/1,24/1,120,yuv420p,,,,,
49,PALACE,One continuous seamless cinematic entrance shot_ no cuts and.mp4,inputs/sources/PALACE/runway櫻花之宮/One continuous seamless cinematic entrance shot_ no cuts and.mp4,5.041667,21126083,33522377,h264,1916,1080,24/1,24/1,121,yuv420p,,,,,
50,PALACE,Refine this exact 5-second motion-locked transition. The sou.mp4,inputs/sources/PALACE/runway櫻花之宮/Refine this exact 5-second motion-locked transition. The sou.mp4,5.0,11502021,18403233,h264,1920,1080,24/1,24/1,120,yuv420p,,,,,
51,SAKURI,A1 _ one continuous four-second locked-camera interpolation.mp4,inputs/sources/SAKURI/RUNWAY/A1 _ one continuous four-second locked-camera interpolation.mp4,4.041667,4581902,9069331,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
52,SAKURI,A2 _ direct continuation from the exact extracted frame of t.mp4,inputs/sources/SAKURI/RUNWAY/A2 _ direct continuation from the exact extracted frame of t.mp4,4.041667,4199421,8312255,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
53,SAKURI,A3 _ direct continuation from the exact extracted near-final.mp4,inputs/sources/SAKURI/RUNWAY/A3 _ direct continuation from the exact extracted near-final.mp4,4.041667,4444719,8797793,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
54,SAKURI,Bridge 1A_ One continuous four-second repair shot between th.mp4,inputs/sources/SAKURI/RUNWAY/Bridge 1A_ One continuous four-second repair shot between th.mp4,4.041667,4250987,8414324,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
55,SAKURI,Bridge 1B_ One continuous four-second transition between the.mp4,inputs/sources/SAKURI/RUNWAY/Bridge 1B_ One continuous four-second transition between the.mp4,4.041667,4107282,8129877,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
56,SAKURI,Bridge 2A_ Create one continuous four-second practical in-ca.mp4,inputs/sources/SAKURI/RUNWAY/Bridge 2A_ Create one continuous four-second practical in-ca.mp4,4.041667,4915009,9728676,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
57,SAKURI,Bridge 2B_ One continuous four-second transition between the.mp4,inputs/sources/SAKURI/RUNWAY/Bridge 2B_ One continuous four-second transition between the.mp4,4.041667,4583738,9072965,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
58,SAKURI,Bridge 3A_ One continuous four-second repair shot between th.mp4,inputs/sources/SAKURI/RUNWAY/Bridge 3A_ One continuous four-second repair shot between th.mp4,4.041667,3466641,6861804,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
59,SAKURI,Bridge 3B_ One continuous four-second closing transition bet.mp4,inputs/sources/SAKURI/RUNWAY/Bridge 3B_ One continuous four-second closing transition bet.mp4,4.041667,3426366,6782084,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
60,SAKURI,Create a single continuous four-second cinematic bridge from.mp4,inputs/sources/SAKURI/RUNWAY/Create a single continuous four-second cinematic bridge from.mp4,4.041667,4912077,9722873,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
61,SAKURI,Create one continuous cinematic transition shot connecting t.mp4,inputs/sources/SAKURI/RUNWAY/Create one continuous cinematic transition shot connecting t.mp4,4.041667,5325493,10541181,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
62,SAKURI,Create one continuous four-second in-camera transition betwe.mp4,inputs/sources/SAKURI/RUNWAY/Create one continuous four-second in-camera transition betwe.mp4,4.041667,5000388,9897674,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
63,SAKURI,One continuous four-second camera-continuity repair between.mp4,inputs/sources/SAKURI/RUNWAY/One continuous four-second camera-continuity repair between.mp4,4.041667,4099188,8113855,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
64,SAKURI,One continuous four-second conservative repair shot connecti.mp4,inputs/sources/SAKURI/RUNWAY/One continuous four-second conservative repair shot connecti.mp4,4.041667,3835246,7591414,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
65,SAKURI,One continuous four-second macro fabric repair shot connecti.mp4,inputs/sources/SAKURI/RUNWAY/One continuous four-second macro fabric repair shot connecti.mp4,4.041667,2748822,5440966,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
66,SAKURI,One continuous four-second repair shot between two adjacent.mp4,inputs/sources/SAKURI/RUNWAY/One continuous four-second repair shot between two adjacent.mp4,4.041667,3989123,7895995,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
67,SAKURI,SAKURI_NO_NAMEPLATE_SAFE_MASTER_1080P48.mp4,inputs/sources/SAKURI/RUNWAY/SAKURI_NO_NAMEPLATE_SAFE_MASTER_1080P48.mp4,30.8125,147210588,38221004,h264,1920,1080,48/1,48/1,1479,yuv420p,,,,,
68,SAKURI,Single continuous 4-second closing take_ Begin exactly at th.mp4,inputs/sources/SAKURI/RUNWAY/Single continuous 4-second closing take_ Begin exactly at th.mp4,4.041667,4140508,8195644,h264,1920,1080,24/1,24/1,97,yuv420p,,,,,
